datetime,co2_corrected_avg,temp,node_id,co2_ref,tenth_percentile_ref,tenth_percentile,m,b,offset_Tcorrected,offset_fit,co2_corrected_avg_T_drift_applied
2022-09-19 12:00:00-07:00,438.2622634847708,27.17003283333333,276,438.82305614833024,434.0143740444973,426.56386391072954,-0.0037886042337926073,-9.662377057995625,-9.2314432113252,-10.0787944378376,446.56012484505095
2022-09-19 13:00:00-07:00,436.600509058555,27.209356271186444,276,436.38818620058294,434.77718578456705,426.8445738088964,-0.003728367033757858,-9.66261366533508,-9.716122614014466,-10.0777034999576,444.89470192016876
2022-09-19 14:00:00-07:00,433.14247029960006,27.838583571428572,276,432.98568265619826,432.98568265619826,424.9787838663121,-0.005257689662246504,-9.615691388897746,-9.831653828602214,-10.0766125620776,441.3943278229616
2022-09-19 21:00:00-07:00,447.7593493712874,27.61262982142857,276,449.10244752797905,434.09369374580297,426.9592420876288,-0.01702878351503254,-9.264830494989535,-8.944395948966473,-10.0689759969176,456.01838107741264
2022-09-19 22:00:00-07:00,445.4423674716539,25.305145,276,445.8181092214715,438.1595355731881,434.8218109694368,-0.01753823536872124,-9.242039992637986,-4.996418578813348,-10.0678850590376,453.8515585556295
2022-09-19 23:00:00-07:00,446.1305690477958,24.444782,276,446.81641722955834,439.7267580806885,435.3564284085578,-0.01649512493973749,-9.254008552943038,-5.972628834024647,-10.0667941211576,454.5950640070595
2022-09-20 00:00:00-07:00,447.57805531581596,23.85200966666667,276,448.5488311809942,441.6346783623995,432.73059670120807,-0.014976484147677889,-9.278408403466628,-10.467525961835463,-10.0657031832776,456.0803141984495
2022-09-20 01:00:00-07:00,449.93848918157113,23.36859733333333,276,452.14944635524904,443.0637948475821,432.3700078703681,-0.01274616155694698,-9.3171919703875,-12.22554471274367,-10.0646122453976,458.471343691439
2022-09-20 02:00:00-07:00,453.16863544516235,23.034956666666666,276,457.1991894732059,443.0637948475821,432.63449032382766,-0.011765880454771985,-9.331745809190483,-11.939192881984127,-10.0635213075176,461.7222683944502
2022-09-20 03:00:00-07:00,462.3349838299057,22.59465716666667,276,469.76141933932183,443.294188578111,433.2671660198513,-0.00958318882388403,-9.372854427002707,-11.508050298307921,-10.0624303696376,470.9163864594951
2022-09-20 04:00:00-07:00,471.673000407294,23.05165916666667,276,474.30966724076256,443.0637948475821,432.5102508004493,-0.008101739808416237,-9.397382601307761,-12.064527215770397,-10.0613394317576,480.223356670414
2022-09-20 05:00:00-07:00,474.2384044841888,22.999199,276,484.1536829278102,442.7263918843963,432.3848656688698,-0.006944389480272822,-9.406331210299953,-11.849070741058881,-10.0602484938776,482.79110845253405
2022-09-20 06:00:00-07:00,478.0228358198223,23.34233533333333,276,485.6349335916808,440.94102727157446,432.3846365472296,-0.006239328362337518,-9.409714120782242,-10.086427046257938,-10.059157555997599,486.55195705390685
2022-09-20 07:00:00-07:00,473.45088059072157,23.734168666666665,276,480.0517411094995,440.5957915893023,432.33026175855684,-0.005937767180983542,-9.405492657482585,-9.821249925236316,-10.0580666181176,481.9532271143483
2022-09-20 08:00:00-07:00,495.7190927083082,24.29155633333333,276,485.0571961272077,438.7828853446849,435.5546814932141,-0.006317240501954875,-9.39313713165171,-4.820459423805232,-10.0569756802376,504.1838128162114
2022-09-20 09:00:00-07:00,476.684902450477,25.52853833333333,276,477.6241061896843,436.9942792266298,430.4531633964706,-0.006499549095298958,-9.387485034012858,-8.214452723729323,-10.0558847423576,485.0674502992645
2022-09-20 10:00:00-07:00,463.0390100339443,28.3145615,276,466.25776338181345,431.79406253245804,419.45298597709933,-0.006405955097755329,-9.390632147800945,-14.197030851078921,-10.0547938044776,471.23784954270167
2022-09-20 11:00:00-07:00,460.24621944960336,28.94080066666667,276,462.4062594030819,431.81120936148795,419.7406127723555,-0.005906057600155723,-9.411385710144094,-13.967599419950886,-10.0537028665976,468.4029194853825
2022-09-20 12:00:00-07:00,457.51641605726485,30.68254232142857,276,457.51641605726485,431.7826313131047,421.02024477117686,-0.005092052234901045,-9.438935037475863,-12.773556526851394,-10.0526119287176,465.5578580010589
2022-09-20 13:00:00-07:00,453.5519327745209,31.989698833333332,276,453.5519327745209,430.86627722926266,419.5899823589813,-0.004286242277218507,-9.463432150252444,-13.373145954078723,-10.0515209908376,461.50660268156116
2022-09-20 14:00:00-07:00,449.4517781544103,30.534767,276,454.9980839155345,431.06237545444145,421.13614831100676,-0.003458705173063952,-9.48658461867132,-11.927710796376516,-10.0504300529576,457.5007245544261
2022-09-20 15:00:00-07:00,446.67262342913415,33.34240093023256,276,453.2037829914401,429.60402257247335,414.2344567560585,-0.002931868579768221,-9.500629822376391,-17.555083407287384,-10.0493391150776,454.53644495333924
2022-09-20 20:00:00-07:00,443.5963942116962,23.30244,276,454.95724131794157,438.88771695574985,432.71926782931104,-0.0008598380533582447,-9.552270670960798,-7.695870401133902,-10.0438844256776,452.1128573626787
2022-09-20 23:00:00-07:00,442.6777151771964,21.816735471698113,276,450.0194320119915,443.063794847582,432.50229757562875,0.00513260316629517,-9.690310982525943,-11.991534036509563,-10.0406116120376,451.2882900246777
2022-09-21 00:00:00-07:00,443.3700321821802,21.65358866666667,276,450.10968195919395,442.79387247703346,432.29892502770315,0.007113155291762363,-9.731956899580565,-11.91429031655639,-10.0395206741576,451.9902099891117
